	group1	group2	g1_mean	g1_variance	g2_variance	g2_mean	g1/g2	enrich	pvalue
kingdom	D006262	D001249	0.023766833514069812	0.0016510963965471553	0.0007276442264301093	0.013673298801432464	1.7381930914564605	D006262	0.0023275272576482
phylum	D006262	D001249	1.0940600411885473	0.03303028708063027	0.04349778422428172	1.1067333631749923	0.9885488931587931	D001249	0.531236834820945
class	D006262	D001249	1.245770933817409	0.046420097767962736	0.06662005691896761	1.2385799624595377	1.0058058192251	D006262	0.931785621328576
order	D006262	D001249	1.6708275111036293	0.082214067559298	0.11776889849400433	1.640369898935738	1.018567526865527	D006262	0.695468426703162
family	D006262	D001249	2.373650420265757	0.12458927842439473	0.16482941406141519	2.2855808892506064	1.0385326686223855	D006262	0.200838066452396
genus	D006262	D001249	3.5982004514677937	0.28075808694698057	0.37742907707576545	3.447474525720199	1.0437206786078013	D006262	0.0607279782558096
species	D006262	D001249	4.790816440268396	0.2567301532579633	0.3356396298586444	4.610246828071889	1.0391670161990059	D006262	0.0152826887335738
