	SAMEA1963786	SAMEA1964348	SAMEA1964895	SAMEA1964914	SAMEA1965033	SAMEA1965112	SAMEA1965191	SAMEA1965384	SAMEA1965767	SAMEA1965852	SAMEA1965906	SAMEA1966253	SAMEA1967055	SAMEA1968035	SAMEA1968151	SAMEA1968361	SAMEA1969296	SAMEA1971886	SAMEA1972159	SAMEA1972229	SAMEA1972440	SAMEA1972463	SAMEA1972794	SAMEA1973207	SAMEA2041923	SAMEA2041924	SAMEA2041925	SAMEA2041926	SAMEA2041927	SAMEA2041928	SAMEA2041930	SAMEA2041931	SAMEA2041932	SAMEA2041933	SAMEA2041934	SAMEA2041935	SAMEA2041936	SAMEA2041937	SAMEA2041938	SAMEA2041939	SAMEA2042000	SAMEA2042001	SAMEA2042002	SAMEA2042003	SAMEA2042004	SAMEA2042005	SAMEA2042006	SAMEA2042007	SAMEA2042009	SAMEA2042010	SAMEA2042011	SAMEA2042012	SAMEA2042013	SAMEA2042014	SAMEA2042087	SAMEA2042088	SAMEA2042089	SAMEA2042090	SAMEA2042091	SAMEA2042092	SAMEA2042093	SAMEA2042095	SAMEA2042096	SAMEA2042097	SAMEA2042098	SAMEA2042099	SAMEA2042100	SAMEA2042101	SAMEA2042102	SAMEA2042103	SAMEA2042104	SAMEA2042105	SAMEA2042106	SAMEA2042107	SAMEA2042108	SAMEA2042109	SAMEA2042110	SAMEA2042111	SAMEA2042112	SAMEA2042113	SAMEA2042114	SAMEA2042115	SAMEA2042191	SAMEA2042192	SAMEA2042193	SAMEA2042194	SAMEA2042195	SAMEA2042196	SAMEA2042197	SAMEA2042198	SAMEA2042199	SAMEA2042200	SAMEA2042201	SAMEA2042202	SAMEA2042203	SAMEA2042204	SAMEA2042205	SAMEA2042206	SAMEA2042215	SAMEA2042216	SAMEA2042217	SAMEA2042218	SAMEA2042219	SAMEA2042220	SAMEA2042221	SAMEA2042222	SAMEA2042223	SAMEA2042224	SAMEA2042225	SAMEA2042226	SAMEA2042280	SAMEA2042281	SAMEA2042282	SAMEA2042283	SAMEA2042284	SAMEA2042285	SAMEA2042286	SAMEA2042287	SAMEA2042288	SAMEA2042289	SAMEA2042290	SAMEA2042292	SAMEA2042293	SAMEA2042294	SAMEA2042295	SAMEA2042296	SAMEA2042297	SAMEA2042298	SAMEA2042299	SAMEA2042300	SAMEA2042301	SAMEA2042302	SAMEA2042303	SAMEA2042304	SAMEA2042360	SAMEA2042361	SAMEA2042362	SAMEA2042363	SAMEA2042364	SAMEA2042365	SAMEA2042366	SAMEA2042367	SAMEA2042368	SAMEA2042369	SAMEA2042371	SAMEA2042372	SAMEA2042373	SAMEA2042374	SAMEA2042375	SAMEA2042376	SAMEA2042377	SAMEA2042378	SAMEA2042379	SAMEA2042380	SAMEA2042381	SAMEA2042382	SAMEA2042383	SAMEA2042384	SAMEA2042385	SAMEA2042386	SAMEA2042387	SAMEA2042388	SAMEA2042389	SAMEA2042391	SAMEA2042392	SAMEA2042393	SAMEA2042394	SAMEA2042395	SAMEA2042396	SAMEA2042397	SAMEA2042398	SAMEA2042399	SAMEA2042400	SAMEA2042401	SAMEA2042402	SAMEA2042403	SAMEA2042404	SAMEA2042405	SAMEA2042406	SAMEA2042407	SAMEA2042408	SAMEA2042425	SAMEA2042426	SAMEA2042427	SAMEA2042428	SAMEA2042429	SAMEA2042430	SAMEA2042431	SAMEA2042433	SAMEA2042434	SAMEA2042435	SAMEA2042436	SAMEA2042437	SAMEA2042438	SAMEA2042439	SAMEA2042440	SAMEA2042441	SAMEA2042442	SAMEA2042443	SAMEA2042444	SAMEA2042445	SAMEA2042446	SAMEA2042447	SAMEA2042448	SAMEA2042449	SAMEA2042450	SAMEA2042451	SAMEA2042452	SAMEA2042453	SAMEA2042488	SAMEA2042489	SAMEA2042490	SAMEA2042491	SAMEA2042492	SAMEA2042493	SAMEA2042495	SAMEA2042496	SAMEA2042497	SAMEA2042498	SAMEA2042499	SAMEA2042500	SAMEA2042501	SAMEA2042502	SAMEA2042503	SAMEA2042504	SAMEA2042505	SAMEA2042506	SAMEA2042507	SAMEA2042508	SAMEA2042509	SAMEA2042510	SAMEA2042511	SAMEA2042512	SAMEA2042513	SAMEA2042515	SAMEA2042516	SAMEA2042517	SAMEA2042518	SAMEA2042519	SAMEA2042520	SAMEA2042553	SAMEA2042554	SAMEA2042555	SAMEA2042556	SAMEA2042557	SAMEA2042558	SAMEA2042559	SAMEA2042560	SAMEA2042561	SAMEA2042562	SAMEA2042563	SAMEA2042564	SAMEA2042566	SAMEA2042567	SAMEA2042568	SAMEA2042569	SAMEA2042570	SAMEA2042571	SAMEA2042572	SAMEA2042573	SAMEA2042574	SAMEA2042575	SAMEA2042576	SAMEA2042577	SAMEA2042578	SAMEA2042579	SAMEA2042580	SAMEA2042581	SAMEA2042582	SAMEA2042583	SAMEA2042584	SAMEA2042585	SAMEA2042602	SAMEA2042603	SAMEA2042604	SAMEA2042605	SAMEA2042606	SAMEA2042607	SAMEA2042608	SAMEA2042609	SAMEA2042611	SAMEA2042612	SAMEA2042613	SAMEA2042614	SAMEA2042615	SAMEA2042616	SAMEA2042617	SAMEA2042618	SAMEA2042619	SAMEA2042620	SAMEA2042621	SAMEA2042622	SAMEA2042623	SAMEA2042624	SAMEA2042625	SAMEA2042626	SAMEA2042627	SAMEA2042628	SAMEA2042629	SAMEA2042630	SAMEA2042632	SAMEA2042633	SAMEA2042643	SAMEA2042644	SAMEA2042645	SAMEA2042646	SAMEA2042647	SAMEA2042648	SAMEA2042649	SAMEA2042650	SAMEA2042651	SAMEA2042653	SAMEA2042654	SAMEA2042655	SAMEA2042656	SAMEA2042657	SAMEA2042658	SAMEA2042659	SAMEA2042660	SAMEA2042661	SAMEA2042662	SAMEA2042663	SAMEA2042664	SAMEA2042665	SAMEA2042729	SAMEA2042730	SAMEA2042731	SAMEA2042732	SAMEA2042733	SAMEA2042734	SAMEA2042736	SAMEA2042737	SAMEA2042738	SAMEA2042739	SAMEA2042740	SAMEA2042741	SAMEA2042742	SAMEA2042743	SAMEA2042744	SAMEA2042745	SAMEA2042828	SAMEA2042829	SAMEA2042830	SAMEA2042831	SAMEA2042832	SAMEA2042833	SAMEA2042834	SAMEA2042835	SAMEA2042836	SAMEA2042837	SAMEA2042838	SAMEA2042839	SAMEA2042840	SAMEA2042841	SAMEA2042842	SAMEA2042911	SAMEA2042912	SAMEA2042913	SAMEA2042914	SAMEA2042915	SAMEA2042916	SAMEA2042917	SAMEA2042918	SAMEA2042919	SAMEA2042920	SAMEA2042921	SAMEA2042922	SAMEA2042923	SAMEA2042924	SAMEA2042980	SAMEA2042981	SAMEA2042982	SAMEA2042983	SAMEA2042984	SAMEA2042985	SAMEA2042986	SAMEA2042987	SAMEA2042988	SAMEA2042990	SAMEA2042991	SAMEA2042992	SAMEA2042993	SAMEA2042994	SAMEA2042995	SAMEA2043040	SAMEA2043041	SAMEA2043042	SAMEA2043043	SAMEA2043044	SAMEA2043045	SAMEA2043046	SAMEA2043048	SAMEA2043049	SAMEA2043050	SAMEA2043051	SAMEA2043052
k	0	0	0	0.393150687727191	0.00593057049279506	0.00820788368084414	0.000783044238616094	0.0972542856852849	0	0	0	2.56103609271464e-05	0	0.000847048729884808	0.0188993907784894	0	0	0	0	0.0355325667494671	0	0	0	0.0283193932125596	0	0.114739683066386	0	0	0.134800946465791	0	0.0659713601334615	0.0599843334208487	0.245022567095195	0.0926803505572177	0	0	0	0	0.0447318682423535	0.00815002538553119	0	0.00948930225358409	0.00567898726004896	0.134698077479281	0.14383272278006	0	0	0.0581472888122015	0.00202773269394752	0	0	0	0	0	0.0593405307585608	0	0	0.0125645298099705	0.0131048400096415	0	0.00642874934120582	0	0.0226552123805062	0.0148732391817825	0	0	0	0.0227255120492444	0.118773853386795	0	0.0334254872678178	0.000932225134247611	0	0	0	0.000677515385064298	0.0156300611197806	0	0	0	0.277285413077717	0	0	0	0.0115920448863104	0	0	0	0	0	0	0	0.00564804205702719	0.00731715810237692	0.00595878102942274	0.0329026342867845	0.0195071699261108	0	0	0	0.000661799912306372	0	0.000949167118275217	0	0.0429469235291302	0	0.018508761667391	0.000328861733709025	9.24582667099071e-05	0.00036754266057547	0.00891666775767897	0	0	0.00779095610894286	0.0137553850687712	0	0.00446329782417245	0.062220915549138	0	0.00102102857651921	0	0.0653955984573203	0	0	0.0226185838664314	0	0.110538682126247	0.0160804327046424	0	0	0	0.0261022414785983	0.00800454061505079	0	0.0333083915583664	0	0.1956084904099	0.0818324045048346	0.0373101408522404	0.0020542511792931	0	0	0.00694239414085229	0	0	0	0.0145679993101008	0.0871613375783372	0	0.0055297344910293	0	0	0	0.00817342519067273	0	0.00251911948827955	0	0.25674767570867	0.00350057342095352	0.016518990597965	0.00915536309755786	0	0	0	0	0	0	0	0	0	0.00270269006980175	0	0.494887893455068	0.302678515899975	0	0.0373441072335747	0.157786918390028	0	0	0	0	0	0	0	0	0	0	0.0588128930418053	0.0871994521827093	0.00157964450860233	0	6.84676102014757e-05	0.0419821644927011	0.00703855775391923	0	0	0.0463001405164387	0	0.000243991785968053	0.648941436548678	0.00769265834489188	0.29374147679375	0	0	0	0	0	0	0	0.0872519879173897	0	0	0.0580944258810537	0	0	0	0	0.13439613647414	0.0153351786213975	0.0346336988292282	0	0.0223552364961319	0	0	0	0.00331997992352786	0	0	0	0.202326312970927	0	0	0.0189475410686536	0	0	0.322943220367157	0	0	0	0	0.00172360690238588	0.015382674724855	0	0.048248903149404	0	0	0.0310024192423054	0.00723593314499553	0.185397357151218	0	0	0.0152449734357451	0	0	0.00194764031476951	0.000686848381649089	0	0	0	0.427535455032096	0.0542896757674906	0	0	0	0	0	0.00562679491643415	0	0.0955875910040078	0	0.116305109185976	0	0	0	0	0.039890841529785	0	0.00999820666773248	0	0.000382884312099587	0.0103278948274636	0.0510497956854242	0	0.0896444984768524	0.00360172151808981	0	0	0	0.0171975206550195	0.0159140851505265	0.0574463269217892	0	0	0.394109046259117	0	0.0167508302722757	0.0566176483796784	0.278220354784858	0	0	0	0	0.0513888506125835	0.120278680903762	0	0	0.0498163940555308	0	0.0216367249481865	0	0	0.0128367657662181	0	0	0	0.038179518359312	0	0	0	0.0636362569237926	0.000999818465548127	0	0.287070654389964	0.0294215442467523	0	0.00440805167404566	0	0	0	0.00893237539525629	0	0	0	0	0.00222121204234669	0.211526500824166	0.156059723082551	0	0.000871849943627835	0.146200113633782	0.0873988508099151	0.0478889642340669	0.250679136563893	0.105406474341783	0.0859615617587365	0	0.0218152311134179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024226763348242	0.185556551536045	0	0	0	0.255062144406309	0.346111362781868	0	0	0	0	0.0507584029720309	0.120930257721273	0	0.00096494787106631	0	0	0.00949614066338228	0	0	0.000782611751401143	0	0	0	0	0.0710860830991085	0.102564073226325	0.0457663007924178	0.240538939361174	0.000498738541650236	0.0407075821253465	0.0372637929389468	0	0.289443833306032	0
p	0.763369565572979	0.733079949539055	0.741859146589445	1.53522742277878	0.768860170279258	0.714408586465889	0.788832173334013	0.868245342617129	0.648815923502262	0.513009471161598	0.898187294045319	0.868758639250694	0.521425263204536	0.85472764634205	1.01320996102941	0.931535963031306	0.71818961281625	0.737238156640675	0.725594246886055	0.819533238101098	0.90454473919891	0.859243399775624	1.05404160631144	0.751834972236318	0.721594062206936	1.02380757501956	0.865430635049505	0.827125085479806	0.960220256761129	0.888065636661431	0.931353890317489	0.976991849790315	0.829263387765333	0.920889949006583	0.856588499264614	0.733918437896344	0.782700338650813	0.718902169973344	0.80195700235318	0.764354218474004	0.77905381235638	0.758903687294666	0.688314411372842	0.990278765973802	0.925154030272705	0.846831404496456	0.82318645693642	0.792249825647559	0.775809473503811	0.662134043391148	0.814924921182737	0.435706327590027	0.958203075954792	0.680727898714706	1.1106508654027	0.578603473999285	0.842831019898336	0.468659209972943	0.482339998195782	0.574002506104373	0.728957190029587	0.431351982697984	0.796494283436753	0.724725146313603	0.707959887182874	0.708713368505904	0.638523822591468	0.688450465659713	0.993204420289945	0.870459158416914	0.773673982870455	0.781910602665499	0.719328797956111	0.837441518942758	0.735906793397178	0.879277247185161	0.480203603233335	0.696012707998383	0.945770737874068	0.622310337340867	1.22296996042189	0.818546789033844	0.839458045473209	0.77718261258115	0.97884928280479	1.00926653516259	0.696843049711514	0.733240304692288	0.705523899693909	0.686022760391935	0.731513017619662	0.577804473365381	0.68993778749876	0.702530733593692	0.718796917109902	0.513100379977699	0.968741509465716	0.702090433009754	0.713217746428196	0.521286710414863	0.576650778650382	0.298850570917194	0.719380205591726	0.714309359149882	0.873577817573574	1.04677866700113	0.793483965191567	0.897785063676394	0.734118653885324	0.917528342676312	0.54512211447553	0.816662540213459	0.741511754188512	0.780318050206613	0.709313853122553	0.628653821450171	0.712656742795329	0.894077341228204	0.482494478104441	0.73761442411551	0.749988453288225	0.963563859832325	0.561016481857396	0.678923112723089	0.890958635214724	0.632836299728143	0.828813641034923	0.890346650009638	0.660308088100529	0.559016015703642	0.783853144513138	0.656721133937113	0.732052345808915	0.879538242599075	0.794476666223319	0.69442409074523	0.97301774161572	0.963121041945925	1.11199122331868	0.996047606522295	0.95348792708231	0.662130483614258	0.864304319631078	0.444081779299231	0.741553373563736	0.708999619645125	0.756479045335763	1.01526845211199	0.778473678883981	0.668633018951841	0.775176891113879	0.778001129448405	0.800190733031503	0.625178366276265	0.690097570023366	0.683755305786369	0.664299626698469	1.04371667676435	0.804984488041843	0.699364535175129	0.524478559189895	0.704674990807161	0.398691955410168	0.652269826293929	0.819163460270166	0.453127925291038	0.71335566572014	1.14834040334566	0.590029702349128	0.638838366381955	0.835052508843407	0.905651841037762	1.07103349644253	0.955529112953845	0.868384262683819	0.80548194064536	1.01516116450023	0.816980328970714	0.799113187652143	0.881654845018497	0.959036785084105	0.795193506389746	0.733568177960822	0.67504909730128	1.08786640212869	0.625253055973404	0.831451503676821	1.00446772530155	1.01881827658627	0.780533054582558	0.760177519896643	0.502458746392133	0.713031825504293	0.65395385934262	0.763122801802911	0.896738669203039	0.745085623894737	0.764171445606503	0.817696024682855	0.839952810864292	0.917998254094663	1.11683316896545	0.703344310416827	0.859510793779513	0.778027828671018	0.828834749229665	0.733301487001007	0.922445958016601	0.74429369356746	0.829299227872293	0.624309310888018	0.655961840209345	0.74915154492385	0.603826441580138	0.648528655234103	0.729143643032134	0.447158842972032	0.893660752881439	0.786627632825463	0.981662157903089	0.593549915693643	0.651446200500238	1.02066556079842	0.76058536131037	0.80156625339259	0.72980942525655	0.809311331665821	0.643257020471978	0.921824109812223	1.26034224877112	0.933661137156323	0.659438942136333	0.730668185195696	0.904090382089087	0.927840449535878	0.75746008212377	0.794566404120668	0.884996501477075	0.790330487835195	1.02769161568296	0.69816842838306	0.930572906781095	0.742615091629259	0.93306142258893	0.756847505819196	0.695099248162491	0.800050121646097	0.714603101441297	0.809220397745051	0.678612441286596	0.733205340293324	0.78363794871597	0.675535977413393	0.712209774650548	0.499094607181414	0.752733976126229	0.924187804175337	0.838317270107179	0.899347283712026	0.93465083015432	0.654021488005707	0.877276719511839	0.822720931669194	0.730320320834226	0.815566080584138	0.721205789645313	0.639696518515758	0.896140973612796	0.898934831585411	0.772547427264271	0.734152821307793	0.793166678978857	0.788923317771265	0.784628064035887	0.763222775656544	0.801245756864392	0.704648139413241	0.749884142211551	0.675915924588679	0.885787405596001	0.786510210706211	0.748934273598385	0.736669511024118	0.958139418733352	0.735836895542544	0.679995692492304	0.635245354558637	0.638763337550978	1.10985513359183	1.11371550130349	0.925805215339515	0.785046392468739	0.982002355482827	1.1484694264263	0.883343349494726	0.747266367768384	0.80057517830164	1.13546713512344	0.611617549138628	0.845166124600725	0.390899278980464	0.913169328981757	0.892789924247183	1.14740251329727	0.756492754593478	0.826488056996322	0.671391951549327	0.408946217207988	0.741217453562655	0.608412203590498	0.711889264841976	0.741472920376559	0.658770282683402	0.747329395048919	0.704385938171742	0.720800418634687	0.731374116260922	0.692086308711956	0.949670044642604	0.879629679321102	0.735330408549265	0.499878405346487	0.946420995277851	0.643476347033171	0.692234056235368	0.734817978101685	0.576985538200895	0.749158768348379	0.758774733897545	0.757716357708166	0.593233371215049	0.692367105078018	0.678171528565707	0.715517002681265	0.694146065396599	0.873500104385757	0.856340208151799	0.282689313381421	0.684432143387341	0.919374549212367	0.91537688605458	0.689962021162287	1.1458513228204	0.713469497305669	0.862832240955235	0.680198600598359	0.757697978002274	0.393916016375255	0.783988581815611	0.627719520398975	0.850160095582133	0.731962438278415	0.362583996137535	0.968315428737229	0.784371821344221	1.02095990579601	0.525134175827906	0.842846868127717	0.695346609892816	0.960059928519001	0.798310646712633	0.733991557746653	0.982827489712702	0.725315612168073	0.719117235098102	0.833227779763767	1.00895051533025	1.11438056350971	0.963312610160876	0.984093306797157	0.580496202479635	0.837785726468164	0.904930340457634	0.96296118334482	1.01684100195414	1.02355782737783	0.609519312170511	0.941605771334662	0.574925888807224	0.789049925558365	0.827078771388741	0.746229248298321	1.06665373501983	1.05304301856537	0.662495310418516	0.677355905341786	0.789038481556073	0.880064469508465	0.754765238973681	1.05783135548499	0.604895238101554	0.799310535800589	0.863332640457	0.866493516124111	1.24324126380671	0.719388207433568
c	0.954665097010236	0.875118945321204	0.82641951528005	1.90493541489219	0.787178829536304	0.859252016822748	1.08291093002247	1.08933255709825	0.747055834694738	0.540031999710322	1.07463881330262	1.14035714025208	0.605776976344054	1.02609336055219	1.49301623533366	1.05296409025623	0.800593393505558	0.997504907373812	0.865881924838691	0.961346364857077	1.19082510526041	0.991711380881629	1.17948063431381	1.0067118454005	0.833364264847996	1.24348495367636	1.05835021834919	0.99638279311797	1.18486724111939	1.17921020185022	1.21404281968262	1.17099443836916	0.953357020654553	1.0669572261218	0.903556922558469	0.764871687053114	0.819516990892348	0.745562649419508	0.944511533485534	0.839964094417233	0.825799674849902	0.968846164540538	0.856234235839521	1.16728471081282	1.13192877583494	0.919194108397781	0.857170577445765	0.898147637913022	0.871911803431131	0.865579517070051	0.959025789311567	0.518160201441559	1.58417382602096	0.964229675295704	1.23190340875948	0.601067978548439	1.00039868012937	0.687728991577482	0.683699498159717	0.677316807861393	0.788547951702651	0.476872827465108	1.04740944295255	0.855130576425494	0.819757557573144	0.80695162199624	0.795027507130703	0.859810054388125	1.11647113602544	1.05194152167299	1.1680055958894	1.03086444517647	0.947406096129463	1.02080723801011	0.813871480287241	1.14688779134133	0.583006639002318	0.79015683408683	1.20830094278167	0.763749640306309	1.40566537591747	0.965179110328882	1.14738054530202	0.928228122134425	0.995674425431575	1.03958105406054	0.757543073670082	0.792450670096508	0.927592052918182	0.873195894515109	0.839318815286852	0.615292610990177	0.825678958121996	0.781456784833129	0.94666602556646	0.798544141802785	1.23266506150975	0.792126363466168	0.788690858902494	0.591962110791391	0.818674782374558	0.324036955992607	0.840261468557461	0.820369218288043	1.10078002279668	1.52968276108189	0.921452258453792	1.081302030639	0.957546866753578	1.06024726100383	0.577998956143431	0.982941023553445	1.0806878298428	0.913830275746806	0.858634112273749	0.831894700224678	0.978550369496283	1.06778663884528	0.555582246593519	0.821120144286143	0.96827942489792	1.24220327897755	0.669674409731866	0.770341367644688	0.990231764525161	0.681772928601536	1.17579171192462	0.97939920327197	0.694738626755508	0.637007250187268	0.909120033107961	0.730922611912335	0.885807547778616	1.12458923661916	1.42295899989913	0.750536675471308	1.15054756715114	1.35612019767648	1.31687376394605	1.20894942915855	1.15153698824557	0.759986077239176	1.04441445024944	0.552992723979521	0.821101215283595	0.763877162313221	0.808928736928008	1.50495975296635	1.04860192370481	0.677065230779342	0.86238481166088	1.02785280209335	0.923152251091473	0.761239005768971	0.811278872716041	0.830916193469444	0.812408592075863	1.27934884248822	0.920897284134958	0.839699042173051	0.680348276343073	1.04165255634491	0.461779147864118	0.766486137613845	1.0963631827763	0.518989688280826	0.818000697361615	1.28605223891053	0.620906322142426	0.813619926819045	0.931075357246492	1.07041889960249	1.11856942495157	1.25267720171497	1.00570674649652	0.953615642341428	1.2515729304944	1.15376894940596	0.951083999577935	1.60634025311966	1.2095903755385	0.894288793247547	0.913643594576516	0.789267080031192	1.17839445758218	0.711100740925007	1.07767621577967	1.26409599877243	1.1405253142709	0.950753523392565	0.836788539114089	0.616047835490344	1.05825001358189	0.688734138846608	0.960733731137201	1.32016896883354	0.95856933650618	0.928463268010975	1.03297102330393	1.47827644488544	1.48817938715886	1.46472672399264	0.787375460737676	1.06775026487782	0.989534446033739	1.1033314724973	1.05890748954007	1.13194717649517	0.842485107796942	0.985718329868604	0.737834604221358	0.764901720373699	0.82047043937851	0.684683842087428	0.690081673662676	0.801761679951619	0.480055227380641	1.13145872925376	0.943174824057698	1.47243893951747	1.03989908226574	0.858667242094087	1.06676911176168	0.939766093031214	1.0465733550013	0.907501265440916	1.19491248617134	0.782560135893115	1.3955273272733	1.68674054243623	1.05626729840261	0.744270293118216	0.824941776889736	1.52009815576859	1.15685348306913	0.983140533890451	1.32527657804325	1.23808219723709	0.990482511018578	1.37781539637918	0.838198432095615	1.44789674391305	0.848510700901575	1.36566830345723	0.876823865430103	0.781703408374804	1.00602299020646	0.807478733076955	1.11615129870643	0.814929461942946	1.0047988491052	0.981620373401018	0.749876782583291	0.883125428023876	0.643473501428333	0.931295102560923	1.02704031896594	1.10802882747151	1.2312007237373	1.37366691103193	0.955435121919712	1.1847856403388	1.34433410448553	1.12150654764054	1.19830260184093	0.805250373539943	0.864732605137126	1.21320591699685	1.05348735380528	0.980202921056458	1.02190678619908	0.926445484367859	0.826715881459929	0.929328166755809	0.92993284203731	1.32783330641885	0.906229627416966	0.852271111378012	0.733855767860536	0.964567161874303	0.877061418687203	1.0529305523728	0.971113043540283	1.11452375641853	0.810212868462633	0.728476835985431	0.71018485289678	0.770211636226549	1.42965732724409	1.44939646815588	1.21201140411844	0.875320877265994	1.30719651574022	1.75565598057602	1.07155539278415	0.858421146126888	0.930159393899783	1.2546803936854	0.813003257643076	1.0283833325866	0.616430423416271	1.17657991690492	1.29887777441821	1.35863064746496	0.894967556660913	0.926787212181445	0.907585869913121	0.534823068425266	0.916074109015219	0.761029901696612	0.860340269594486	0.911246574062766	0.805609168525048	0.853867998966728	0.803374308025197	0.878398570995794	0.853793252632978	0.827297439360482	1.19619804090684	1.1380874515717	0.968073280978714	0.551188649012606	1.05344617492829	0.792350000619615	1.00760264632403	0.890600008630951	0.705179669539455	0.837221190512425	0.82729154555231	0.921663885992998	0.650603586893488	0.977624277156098	0.819926503467955	0.821768127838978	0.744168966854821	1.00902251695535	1.08434531597101	0.445387214623	1.06535260118345	1.34555094125088	1.24448510296717	0.92522605786761	1.34777629781517	0.808133209559224	1.19954105774911	0.870793635011196	1.00359360604353	0.492957137471518	1.16389955369189	0.89495828444276	1.35931708138651	0.997840522038965	0.433855064040229	1.11345524717259	0.933570305393266	1.24608892256245	0.775477397759456	1.26574560780959	0.81491639907495	1.3103075346566	1.0972422391504	0.922058917276215	1.41162571744094	0.8263269240451	0.822101523721361	1.01059595722566	1.25379417602427	1.39768331935009	1.10971972554793	1.18335215542778	1.09488337540211	1.07228805930675	1.03006240802996	1.07856936576212	1.25849825128207	1.25531652961373	0.802148020257658	1.28149260781695	0.67455808777803	0.88232825053852	0.989056495147645	1.31238489697339	1.16581881546864	1.15019070151826	0.911915117365083	0.921140746820313	0.9041824029401	1.05427522580748	0.841890748446209	1.16693022264726	0.773012196218284	0.983128408150492	1.12930745715362	1.00890427417096	1.67313626118042	0.952160829281167
