p	Axis1	Axis2	Axis3
ERR911953	0.157613442653607	0.085201712200491	0.0460547532268981
ERR911954	-0.0112106040534885	0.00876785449628728	-0.0554852267554909
ERR911955	-0.275737249789601	0.0527193519210638	0.0160449078774951
ERR911956	-0.0255185882691243	0.078924034835473	0.0259365083945357
ERR911957	-0.190135980059962	0.0170767904381122	-0.0455596298412618
ERR911958	0.256995557681889	-0.0298782715086391	-0.0618920715825137
ERR911959	-0.164488978559245	0.0525874509154678	-0.0167312446795657
ERR911960	-0.110862859023725	0.0256667396227147	-0.00735185527097052
ERR911961	0.150217385519569	0.0334972452878519	0.0138301111407911
ERR911962	-0.425243159599065	0.0667997197656009	-0.00576743074560805
ERR911963	0.0585973228421835	0.0547008087154003	0.00771814622860398
ERR911964	0.149922313531641	0.0248212008442418	0.000795411276053453
ERR911965	-0.460872000984336	0.0599841822614305	-0.00583360471686842
ERR911966	0.0164122423351569	0.0768245395078284	0.0223445512231057
ERR911967	-0.183504484804508	0.0213519204972405	-0.0400685621149401
ERR911968	-0.0173045768585446	0.064852760012649	0.0268102343466786
ERR911969	0.182686341855783	0.0586134415496924	0.0243499896161629
ERR911970	-0.476942175144725	0.0636766620877452	-0.00883349307131594
ERR911971	-0.324136404392842	0.0714140583884542	0.0043532796379697
ERR911972	-0.0924943974722501	0.0530344728858868	0.00173960304476138
ERR911973	0.100875603032725	-0.18629229213629	0.0714792859626403
ERR911974	0.094136495950259	0.0772186820831011	0.0390292420830576
ERR911975	-0.0568421047243032	0.0364118271056939	-0.00618442402194371
ERR911976	0.16968356404927	0.0334548973932338	-0.0137978015602664
ERR911977	-0.150881898124711	0.0776091962305158	0.0176902550763296
ERR911978	-0.227121060662282	-0.10968669211737	0.0014978753314856
ERR911979	0.473843829469439	0.0605803635705113	0.0628218881165805
ERR911980	-0.2440871128303	0.0572833849079888	-0.0101024878638977
ERR911981	0.103826316407885	0.0360839200086412	-0.0156945399132218
ERR911982	0.131444607037019	0.0674006722762627	0.0329478036432799
ERR911983	0.249912943320673	0.0329852517972213	0.0184407272533331
ERR911984	-0.0737329361398172	0.064761253817474	0.0198237156893055
ERR911985	0.077433343680529	0.0630698222847604	0.0247202329120691
ERR911986	-0.289684265376099	0.0563274090108028	-0.000439916212127087
ERR911987	0.304079974382164	0.0590762987273339	0.0209507659996153
ERR911988	0.0133836226041656	-0.029443462120365	0.0167475272007635
ERR911989	0.15406945079033	0.00507096933599299	-0.0301825275926731
ERR911990	-0.00436221056514099	-0.064096130761351	0.00957599231575033
ERR911991	-0.168043702496779	0.0581881816807324	0.0183057144619286
ERR911992	0.306029097083585	-0.0328045728121839	-0.126001644221828
ERR911993	-0.00684092374863945	0.000426563158509201	0.0411452563511343
ERR911994	0.0204031786479756	0.0742242047048432	0.0352209022722061
ERR911995	0.0587932274971557	0.0702747993595627	0.0253330087587999
ERR911996	-0.190119357208527	0.065645577637937	0.00703983931237052
ERR911997	-0.102493049037365	0.0610893792738671	0.0115145892649959
ERR911998	0.108058828484808	0.0627331903370235	0.0200484637603456
ERR911999	0.174778586881295	-0.104285423942615	-0.118940928628964
ERR912000	-0.179295566193914	0.0649681959994712	0.008417666225044
ERR912001	-0.270766927040858	-0.0424934575609569	-0.0310881294683018
ERR912002	-0.172463844634099	0.0620313662390931	0.0194204217551665
ERR912003	-0.000222800783045388	0.0604030284549925	0.0229160792569599
ERR912004	0.127251760880228	0.0488105104888696	0.015305422354442
ERR912005	-0.314158034682914	0.0558615504492051	-0.0163649880687771
ERR912006	-0.252533957538136	0.0665717949986376	0.00329207441055683
ERR912007	0.0527573110176743	0.0210042584020782	0.00238612817953675
ERR912008	-0.22725828373208	0.0668037593842992	0.0109759336290897
ERR912009	0.407650566276949	0.0984231217875402	0.0687823239028787
ERR912010	0.382316104320075	0.0700819231196682	0.0425581543931474
ERR912011	0.177985712007744	0.0589429653631042	0.0327691887311046
ERR912012	0.0970870147707789	0.0232057009447029	-0.0312456946120966
ERR912013	0.128273511135917	0.050419386362619	0.00198612403864993
ERR912014	0.0519195731545614	0.0116501148657406	0.0278564857182065
ERR912015	0.30896421542624	0.0583137514322725	-0.000824721218043202
ERR912016	0.0147631275611884	0.0805175620572257	0.0266488783902686
ERR912017	0.196212205615557	0.0729392970601279	0.039060659761849
ERR912018	0.260353262805954	-0.00245694765770192	-0.105077435659546
ERR912019	0.376479377340641	0.0379598239794081	-0.042323137010844
ERR912020	0.266047816508159	-0.00402358221071691	0.0199335789438775
ERR912021	0.101715867779348	0.00859131399159907	-0.033114397423067
ERR912022	0.206777257793212	-0.147241519219588	-0.300932957175854
ERR912023	-0.15398437043385	0.054362307172781	0.0245856891283649
ERR912024	-0.300277114470782	0.0717858698380708	0.00924883330057968
ERR912025	-0.261033597048774	0.0474311943152271	-0.0411855021172695
ERR912026	0.0683757567859206	0.0301602745557162	-0.00875866695923255
ERR912027	0.2501602270514	0.0456222826421747	-0.0370278183634566
ERR912028	0.255749341469639	0.00422417140387331	-0.0528326046088437
ERR912029	0.489154890269218	0.0551226752850024	0.0420229606026318
ERR912030	0.277871429755178	0.0318027902860081	0.00272675472011916
ERR912031	0.345144544700822	0.0616141110398663	0.0228428760508274
ERR912032	-0.0287532608113409	0.0309017258933809	-0.00741912270051624
ERR912033	0.0406139556911164	-0.257102944196062	0.0471946589466033
ERR912034	0.10159442744812	0.052176817309696	0.0144626768832146
ERR912035	-0.0821664450726943	0.0690924703190082	0.0149885460985145
ERR912036	0.146318254839233	-0.00314319025593297	-0.0398346487042629
ERR912037	-0.276987476211696	-0.502237521747511	0.108461109710355
ERR912038	-0.0661313181458145	-0.124292385698127	0.0594037713079148
ERR912039	-0.0689725773908255	-0.15196359507252	-0.140504859796589
ERR912040	-0.209518722539462	-0.21253132927516	0.0359140770280699
ERR912041	0.105117717098338	0.0883315506654237	0.0316315333332878
ERR912042	0.10387126192915	-0.445735075111906	0.131555954001171
ERR912043	-0.220307383960778	-0.0631501905345426	-0.0241096748602494
ERR912044	0.30647177771572	-0.0486832805033796	-0.119145653441381
ERR912045	0.0512224038057998	-0.549995013589706	0.0431071872992868
ERR912046	0.290356219039418	0.0521189774821204	0.0281954849636719
ERR912047	0.256460723325588	-0.286346741592409	0.0138971071918647
ERR912048	-0.316399279333578	0.0387106947449033	-0.012978251199786
ERR912049	0.220935551842042	0.0660985901744772	0.0326879434989906
ERR912050	0.150959900219367	-0.158483787409552	0.0196052650272033
ERR912051	-0.0232229879509173	0.0436007171786604	-0.0152981271611423
ERR912052	-0.253097137083382	0.0614776995030753	0.00329114566554314
ERR912053	-0.186798066105184	0.0722925335330543	0.0168869178849094
ERR912054	-0.243641293353705	0.0406311369806984	-0.00798033571897302
ERR912055	-0.282241725755264	0.0432249354914558	-0.0148515251465408
ERR912056	0.119322826846121	0.0704923090825393	0.00462750438518985
ERR912057	0.0242653988130442	-0.0860517562148676	0.0499110027394708
ERR912058	-0.0497215682498761	-0.419461645254836	0.114394519189251
ERR912059	-0.174789932997813	-0.0103446260497722	0.0262340616436425
ERR912060	0.0655034135650021	-0.735304998206047	0.130255949797166
ERR912061	0.0232982065983941	-0.0311955385577442	0.0666729590090092
ERR912062	-0.0726123823886859	0.06326614468061	0.0248955318641757
ERR912063	0.249495464603927	0.0660820909178629	0.0316539444967635
ERR912064	0.24030502968943	0.0848854841719724	0.0278357193858349
ERR912065	-0.376147929602415	0.0621624778186503	-0.0160006797567374
ERR912066	0.000821686150340951	0.0307702557404058	0.00317692701071939
ERR912067	0.0851933890077315	-0.0244296886733978	-0.0397904849088628
ERR912068	-0.311614960299967	0.0301505655900528	-0.0513465608283691
ERR912069	0.00840942349878841	0.0442706783176642	0.00357658254048729
ERR912070	-0.132956402330056	-0.0446594859123486	-0.0944598149746062
ERR912071	0.276498888115866	0.0498253842862938	0.0291268267151971
ERR912072	-0.0592769919011372	0.0575014605640603	0.0138847893340618
ERR912073	-0.383312374936657	-0.275741563879594	0.0751598276456017
ERR912074	-0.0117736275335171	0.0628819552450716	0.0289231712902416
ERR912075	0.0377142181108392	-0.237607084462903	0.0625707720425152
ERR912076	0.242656929460769	0.0102502629938519	-0.0174743808933447
ERR912077	-0.191683882632347	0.0475965408172114	0.00889289010435572
ERR912078	-0.11751409850653	-0.0633695652135332	-0.0754729727765302
ERR912079	0.207089043363038	0.0203115660523775	-0.0467713681965281
ERR912080	-0.208647830313603	0.0708569073852008	0.00835362238929927
ERR912081	-0.544441432890827	-0.0154246062157601	-0.0088001703840488
ERR912082	-0.549099054504486	0.0182271162548735	-0.00971405928964383
