c	Axis1	Axis2	Axis3
ERR911953	0.157304285605352	0.0999620474453995	-0.0565536927584502
ERR911954	-0.0276545664022615	-0.00652405292958961	0.0568204628218787
ERR911955	-0.259517511456477	0.0636001657998447	-0.0196190412204904
ERR911956	-0.0224812032550599	0.0853558902961232	-0.0330417405651764
ERR911957	-0.172005592126056	0.024125588868936	0.0341242003429714
ERR911958	0.223976789387697	-0.0572618742309851	0.0891122274528885
ERR911959	-0.164002842532143	0.0445412706413613	0.0191634040524952
ERR911960	-0.104025484634541	0.0280134171513738	0.00166850008768606
ERR911961	0.107765508441196	-0.00222099668758004	0.0158133200471693
ERR911962	-0.407051705958001	0.0631068699748644	0.0016042603084505
ERR911963	0.00531747205757792	0.00199206647800904	0.0356796408242992
ERR911964	0.144013572749865	0.0263356915846897	0.000308379857610948
ERR911965	-0.440169933309411	0.0574071300798503	0.00145038898189851
ERR911966	0.0258971682949221	0.0917320344469971	-0.0350788026379267
ERR911967	-0.163978885514197	0.0311474716225827	0.0275556894437356
ERR911968	-0.0222081000989135	0.0620609848646751	-0.0260079183751
ERR911969	0.191116634691538	0.0830035532559263	-0.0416599825715344
ERR911970	-0.458161553118995	0.0573483894208447	0.00582337106436221
ERR911971	-0.32537440003933	0.0536654980554284	0.0050600063678373
ERR911972	-0.077196073736192	0.0651615349664783	-0.0127574780774913
ERR911973	0.117334244461314	-0.170845633600346	-0.0811179423125695
ERR911974	0.0939518847859528	0.091289584114078	-0.0441723624639757
ERR911975	-0.0443620730259637	0.0463682607817286	-0.00175457146679913
ERR911976	0.170138616405475	0.0445483954151858	0.00634958883590172
ERR911977	-0.177153830224623	0.043343702042873	0.00734781337319229
ERR911978	-0.218044775682636	-0.116814254105604	0.00355036031313002
ERR911979	0.486968258823328	0.109304503616728	-0.0971979680029254
ERR911980	-0.256822637952738	0.0305383603353554	0.0271997585649511
ERR911981	0.0868909222428408	0.0272313494510473	0.0268912886465445
ERR911982	0.124740041054151	0.0757093402925987	-0.032839644558844
ERR911983	0.191361369225759	-0.00786779369321587	0.027631694170674
ERR911984	-0.0655852055826277	0.0735057033405607	-0.0294287470958037
ERR911985	0.0426763744290304	0.0347047422444737	0.00266213189986007
ERR911986	-0.295771905374119	0.0351952178852384	0.00809345384970896
ERR911987	0.248217457802391	0.0216697511465863	0.0113036626001625
ERR911988	0.00423213680882142	-0.0342733643696462	-0.00656584169312749
ERR911989	0.138492896523153	-0.00286943045497708	0.0372718342045929
ERR911990	-0.00319047490068456	-0.0684391089258384	-0.00385096873960195
ERR911991	-0.154398338781085	0.0695935164227513	-0.0248775674560576
ERR911992	0.320011718138888	-0.00265563886024864	0.100425163246517
ERR911993	0.00156922859457876	0.0157935407392131	-0.0474097146313921
ERR911994	0.026746019528403	0.0864666418684425	-0.045839325963981
ERR911995	0.0432663554761877	0.0624635195318692	-0.0174428570880733
ERR911996	-0.184390578362947	0.0630642111814688	-0.00847910832449191
ERR911997	-0.116923270100188	0.0436192121452035	0.00290288093330873
ERR911998	0.0652727321835496	0.0252101937044048	0.0114908611552823
ERR911999	0.184910096786798	-0.0924044550015748	0.110651619139261
ERR912000	-0.179314048051525	0.0568328368404501	-0.00491312063671343
ERR912001	-0.244744048157223	-0.0364711136655682	0.0236492005417354
ERR912002	-0.155937397519851	0.0732580259618957	-0.031381746001358
ERR912003	0.00331186723075774	0.0677782056720372	-0.0300878596863143
ERR912004	0.143382175053427	0.077275866091946	-0.0372421408915027
ERR912005	-0.305912333010214	0.0474530253362884	0.0171543778365792
ERR912006	-0.239108703406564	0.0686483026734945	-0.00993157166779606
ERR912007	0.042174920073856	0.0127506602041425	0.00735403630489281
ERR912008	-0.225615721705126	0.0576813334646049	-0.00800276840905682
ERR912009	0.400042347896643	0.122107728075436	-0.0835857255755559
ERR912010	0.388707106737063	0.103819299994515	-0.0650945395053042
ERR912011	0.181096208852748	0.0766601604440431	-0.0448108416799713
ERR912012	0.0857111360132307	0.0153684564402006	0.0393342144333315
ERR912013	0.029528922481623	-0.0490171727403639	0.0811146509679569
ERR912014	0.0625817109947254	0.0280289207385713	-0.0419984436720397
ERR912015	0.283777095420176	0.051867126362388	0.00811985425981815
ERR912016	-0.0203711545280716	0.0475061937610177	-0.000442959468147472
ERR912017	0.178504553913268	0.0752150316911065	-0.0306371596563744
ERR912018	0.263454897192581	0.0126588093070376	0.0919618789428097
ERR912019	0.361177696050966	0.0450933724851278	0.0389138647237538
ERR912020	0.270223789248853	0.0171116044590361	-0.0319052427859374
ERR912021	0.115843237244421	0.0319024225400332	0.0198922451316618
ERR912022	0.240022781807196	-0.115029961513418	0.266328189741518
ERR912023	-0.137832836977648	0.0702962880004127	-0.0327501446560415
ERR912024	-0.282924122284811	0.0763966491073696	-0.0183717184699189
ERR912025	-0.252389795684003	0.0434377071249378	0.040673869412145
ERR912026	0.00797447450758085	-0.0305523586841468	0.0617771758183522
ERR912027	0.198941175496662	0.00585353301720984	0.0696433241218576
ERR912028	0.268813727639739	0.0327121467667274	0.0300781548376715
ERR912029	0.430126665647229	0.0235634411474052	-0.00905224244807121
ERR912030	0.268682956295308	0.03838912265938	-0.00162439662487517
ERR912031	0.344399935915568	0.0855613167974606	-0.0380142624339878
ERR912032	-0.0130609940113958	0.0457963499689266	-0.0025547849925306
ERR912033	0.057296341478066	-0.250617281760758	-0.0547411025520637
ERR912034	0.0454529339764867	-0.000528949147874796	0.0312750518467643
ERR912035	-0.0642190856144738	0.0874093887970778	-0.0321114884290009
ERR912036	0.104983448366473	-0.0417928982959423	0.0703774097064071
ERR912037	-0.229859934050149	-0.493435471029086	-0.125437068096901
