s	Axis1	Axis2	Axis3
ERR911953	0.0269535619941702	-0.00682336824540435	0.0291680211855249
ERR911954	0.0179548577059154	-0.0322566198461329	-0.0162994834113175
ERR911955	0.0315880247843964	0.0234650120446405	0.0658879422887584
ERR911956	0.0192278870612987	0.01189652121894	-0.0152794884653634
ERR911957	0.0328501945828641	0.0186055825047768	0.0436818037142749
ERR911958	0.0064946440264255	-0.0807312330904658	-0.0282054591838579
ERR911959	0.0178426877619387	-0.0835228609101986	-0.0337781310616558
ERR911960	0.0215721073593807	-0.0479583878540224	-0.0145885297315068
ERR911961	0.0155275170038931	0.00692974289876553	0.0379119554589283
ERR911962	0.010455758416455	-0.0167578944420082	-0.00984842686304816
ERR911963	0.0147241834453768	-0.036917164943148	0.0136478950764781
ERR911964	0.0193876381387565	-0.0298983536652961	-0.00882151404276107
ERR911965	0.0449256696246463	0.104563652677024	0.0673978533596965
ERR911966	0.0162630587503102	-0.0510270639725064	-0.0222872217343681
ERR911967	0.0415159614042969	0.0790708381395126	-0.0362791814536116
ERR911968	0.0346102496550771	0.024145892993574	0.0521812351988594
ERR911969	0.0177622237537516	-0.0258063955215282	0.00110049105249509
ERR911970	0.0453676092351092	0.0996587913561442	0.0738067934004507
ERR911971	0.0380299415383885	0.0473792464246602	0.0258847171879251
ERR911972	0.0444081549521253	0.0911239338781554	-0.0211234882196941
ERR911973	-0.137657781762802	-0.037198894260597	-0.0246352298351889
ERR911974	0.0426468844762211	0.0673268846515339	0.0225781378345346
ERR911975	0.0276849051879236	-0.0139613304994096	-0.0172911336756635
ERR911976	0.00938458742203533	-0.0708041212843842	-0.0217847201036739
ERR911977	0.0407749006137223	0.0351227409601112	0.0287452410065886
ERR911978	-0.0723373718592057	0.0347922041539058	0.0666047559421606
ERR911979	-0.00038008672377457	-0.0510788980905753	-0.0271548029469353
ERR911980	0.0282026914589139	0.0120605452467344	0.017290569861462
ERR911981	0.0194055947688205	-0.030843035881207	-0.00604474735392724
ERR911982	0.0204663073171843	-0.0303045045871782	0.0312172883892867
ERR911983	0.0149224351935932	-0.0425371578689056	0.00661546304454166
ERR911984	0.0167301113144069	-0.0313359465420652	0.000513247365839594
ERR911985	0.0157504215036609	-0.0727072564350644	-0.0182400559479562
ERR911986	0.0391039133924801	0.0820225312123933	0.0854056041468681
ERR911987	0.0164290963086552	-0.0457325283863092	0.00756608409486507
ERR911988	-0.0369525933993332	-0.0251759189867951	-9.03794603393356e-05
ERR911989	0.00547688685931839	-0.0507085908364256	-0.0374830695411327
ERR911990	0.0159247951235583	-0.0318040499404195	-0.0250197272468847
ERR911991	0.0180203180951114	-0.0421597274047433	0.0113088017399276
ERR911992	0.00878491196931746	-0.0814098690869733	-0.0314459118865702
ERR911993	0.0129608731288133	-0.0432201095252881	-0.0182232027850155
ERR911994	0.0289658918599476	0.000193282360618584	0.0414428983737228
ERR911995	0.0115295388221928	-0.0551544694287938	0.00165733899457481
ERR911996	0.0163421913744347	-0.0950433699382501	-0.0259445432098979
ERR911997	0.0305068434919966	0.0585122224985209	-0.0423781635956322
ERR911998	0.017436026145449	-0.0311146858005362	0.00701559223568543
ERR911999	-0.0136837203189444	-0.0470781206671744	-0.0080497428281923
ERR912000	0.0345800231291717	0.0379440891710799	0.00345183309230548
ERR912001	0.0176670541383985	0.0556478482861588	0.0839648963188367
ERR912002	0.0341868728101417	0.0573164896219444	0.00402333367876265
ERR912003	0.0258578707000401	-0.00193060799573676	0.00730534110451149
ERR912004	0.0193835944264765	-0.0181367589536781	-0.00532554929938092
ERR912005	0.0444358541508938	0.0747213692128157	-0.0042485879691233
ERR912006	0.0185498030719225	-0.0727696522478564	-0.0458103526513267
ERR912007	0.00993396272668195	-0.0364889910607708	-0.0013971535439162
ERR912008	0.0585702676604934	0.152468902716509	-0.052348237621288
ERR912009	0.0169740670487989	-0.0455707133858406	-0.0105814223206368
ERR912010	0.00855308005408561	-0.074105995999703	-0.0269591760038712
ERR912011	0.00780009831890919	-0.0210252867905412	-0.0274052466011061
ERR912012	0.0164417945201429	-0.0485290103697569	-0.00894299368464558
ERR912013	0.0155070688720857	-0.0388359656230694	0.00896232446038031
ERR912014	0.000155645989546247	0.0365471719634179	-0.0438921491035067
ERR912015	0.0183720792433677	-0.034614142474872	-0.00040402096625701
ERR912016	0.0377097897691118	0.0379146448426749	-0.00941386872456681
ERR912017	0.0143426870364683	-0.0217557316894782	-0.0382521847316803
ERR912018	0.0164378512007984	-0.0519886647357814	-0.0348212993272173
ERR912019	0.00935069475969546	-0.0784638156640102	-0.0234158596880255
ERR912020	-0.00932921757004126	-0.0205594680985871	-0.0175299229247359
ERR912021	0.0127372169241046	-0.0345476279643159	0.0006266680019608
ERR912022	-0.0106328895382483	-0.0495837655518957	-0.0330623031981672
ERR912023	0.0222849272649029	-0.000330115642775145	0.023663319977985
ERR912024	0.051170352767661	0.114231119893231	0.0620380409300336
ERR912025	0.0503837728093949	0.128701054239236	-0.0803131925869724
ERR912026	0.0198638540042661	-0.00559471657074286	-0.025439281092529
ERR912027	0.0267138901356853	-0.0356911554942741	0.0206491494757084
ERR912028	0.0179258637977806	-0.0167509153757137	-0.0331049316893878
ERR912029	0.0115558894245065	-0.0741204459623314	-0.0229495933488643
ERR912030	0.0173504893856366	-0.0354336206496725	-0.00938021888864787
ERR912031	0.0160142275750291	-0.0281536597657704	-0.0343674827667151
ERR912032	0.020199218007869	-0.0260457067986704	0.0258199742120143
ERR912033	-0.157867138862375	0.0100046450175641	-0.011688428199245
ERR912034	0.025019936557389	-0.0209414886709032	-0.0137565699108897
ERR912035	0.0323589056749049	0.0403876758416361	0.0191950056878451
ERR912036	0.0112754065191725	-0.0353494149273508	0.0248523791565514
ERR912037	-0.34168965267267	0.0291202373640752	0.0256173821281339
ERR912038	-0.0569620566610327	0.0952145755569279	0.0461994828647867
ERR912039	0.00782256158310886	-0.0450214032724491	0.00658537324629795
ERR912040	-0.13630323951723	0.00668711490239789	0.021341974501508
ERR912041	0.0392612040735705	0.0415700049397971	0.0575149351960778
ERR912042	-0.302290418833429	0.0194424520432362	0.00665146162531186
ERR912043	-0.0315780235114042	0.0233923979557221	0.0318491296085035
ERR912044	0.0103864062542777	-0.0598852500274823	0.00657838723495062
ERR912045	-0.327224166524213	0.0382685908884914	0.0528510761812904
ERR912046	0.0193878194277665	-0.0296333260513153	-0.0165844446466158
ERR912047	-0.176920312542656	-0.025411642334262	-0.0226263599032781
