o	Axis1	Axis2	Axis3
ERR911953	0.0942917422580586	0.0959198785355199	-0.082155390696154
ERR911954	-0.0104725898256099	0.00881652185695898	3.26077932696702e-05
ERR911955	-0.253208905388871	0.0297508765354752	0.0188721548304576
ERR911956	-0.0652439107347762	0.0561410082511111	-0.087601641960626
ERR911957	-0.161353993111539	0.00486734087986729	-0.0143186669128157
ERR911958	0.211843630808585	-0.0442375012948787	-0.00109569605355627
ERR911959	-0.159852647616149	0.0299268748866832	-0.0366219832660771
ERR911960	-0.0942329276345112	0.0204550449930822	0.0365614444998737
ERR911961	0.111944318946166	0.0167454615749406	0.0877919699495953
ERR911962	-0.383259717224882	0.0194714390737856	-0.0256266878723659
ERR911963	0.0227313549685021	0.010906208452877	0.0776239335831729
ERR911964	0.124891689485966	0.0409776204688095	0.0137010370948113
ERR911965	-0.408779500299999	0.00284477310755949	0.0108124852858796
ERR911966	-0.00154350795581539	0.0684177658759382	0.0786770986477561
ERR911967	-0.151398128245841	0.0220862891505514	-0.0107821522342376
ERR911968	-0.0433259982404163	0.0562041970511345	-0.0113176706682892
ERR911969	0.144574316929356	0.0810909164455643	0.0714838024452333
ERR911970	-0.423536393379924	0.000143852400459838	0.026983463169908
ERR911971	-0.304313838581187	0.0195824369144381	-0.0105189278893538
ERR911972	-0.0933810631762336	0.0555083305111169	-0.064749684838899
ERR911973	0.138263202038945	-0.129536374986229	-0.167053627939647
ERR911974	0.0480455104313418	0.0909477094936348	-0.0515392584305923
ERR911975	-0.0521238340509415	0.0449258437243734	0.000438341609264815
ERR911976	0.139796605813343	0.0447901175195936	0.035837109040369
ERR911977	-0.165429511789983	0.0246136524383337	0.0223573025274247
ERR911978	-0.159317215706965	-0.129738820588851	0.0190814496546344
ERR911979	0.370989690013425	0.17123232357109	-0.324550461783282
ERR911980	-0.231285203311206	0.00981218340036143	0.0229697801495592
ERR911981	0.0698462987457164	0.0466155948391841	-0.0512632850394638
ERR911982	0.0754207955931967	0.0971852369872705	-0.139359172844517
ERR911983	0.185089188795527	0.0405335233666212	0.0067564184902432
ERR911984	-0.0812622880700292	0.0626171412831895	-0.0035462967609479
ERR911985	0.0353283962428256	0.0345208330097787	0.0677269737304046
ERR911986	-0.269620032665153	0.00410269612448485	0.0197890535865282
ERR911987	0.222481854958593	0.0605287526088835	0.000453013159426144
ERR911988	0.015294746399659	-0.0655780474229299	0.0905993644700375
ERR911989	0.13387660333474	0.00884441033785316	0.0792487836048466
ERR911990	0.0149928589484776	-0.0542874193312058	-0.0541180213071041
ERR911991	-0.167722256037596	0.0542582463983178	-0.0856384180806769
ERR911992	0.295568939734959	0.0590624602903098	-0.047090644438804
ERR911993	-0.00500495185155997	0.00725423759024243	0.0162084585646214
ERR911994	-0.0250025048727768	0.0605055640001694	-0.0668952922885584
ERR911995	0.0232885802485869	0.0489441514631999	0.063425432962783
ERR911996	-0.182086258049045	0.0318636122438883	0.0240439786130692
