g	Axis1	Axis2	Axis3
ERR911953	-0.0261589878837642	0.0360209696452673	-0.00131523958862038
ERR911954	-0.0624399857665649	0.0272092461244284	-0.0197825740255487
ERR911955	0.0614863812575631	0.0486997882712502	-0.0142948979046564
ERR911956	0.0411375395854911	0.0260954373986921	0.0189486928882145
ERR911957	0.0322018003620473	0.0406449394707	0.0498330265704378
ERR911958	-0.176149864205163	0.0237117845453531	0.0120755858881042
ERR911959	-0.142818648942783	0.0578901197666674	-0.0686348053240412
ERR911960	-0.0319535872004536	0.0453948931326924	-0.0566942054969386
ERR911961	-0.00385518453204372	0.011701594944692	0.00495689067444249
ERR911962	0.0837278261808436	0.0178930809649768	0.0100329521983616
ERR911963	-0.106288656994405	0.0310484442664214	-0.035732590770454
ERR911964	-0.0865581878800474	0.0320915367341095	-0.000239348878867588
ERR911965	0.264569206794385	0.0354283233111954	-0.0343840465721403
ERR911966	-0.107508962835797	0.0431359925358619	-0.0389493284313637
ERR911967	0.16083404862921	0.0190169739212931	0.0290583629762314
ERR911968	0.0575883803341336	0.0353915332646117	-0.00473941653166234
ERR911969	-0.0298191398008132	0.0272093043339345	0.0251764137659344
ERR911970	0.319235672962669	0.0343807267377217	-0.0231962799817145
ERR911971	0.159754875672662	0.042755647310849	-0.00234005518164161
ERR911972	0.126281786060816	0.0282512654052277	-0.00737619928665105
ERR911973	-0.150767217442464	-0.159020571511833	-0.111041377159347
ERR911974	0.0438119429926399	0.0326346645697431	-0.00750695271471441
ERR911975	-0.0624076634211712	0.0429168708205764	-0.095077021186823
ERR911976	-0.13639990398269	0.0314935544551499	0.00869620319256572
ERR911977	0.0598886437716907	0.0461863002528051	0.0136146981366461
ERR911978	0.126856276854438	-0.0914166720015317	-0.0003540491301443
ERR911979	-0.138391383144666	0.00749735365564751	0.0189073880157691
ERR911980	0.0877894196373673	0.04006218201543	-0.0434353938749594
ERR911981	-0.0353221241121503	0.0325763297374938	0.0261036103905008
