f	Axis1	Axis2	Axis3
ERR911953	0.0639638018536824	-0.119855760768367	0.0726628955578364
ERR911954	0.00651505724612127	-0.0164179874012709	-0.0138817639448967
ERR911955	-0.0950650248052094	-0.000666267819344231	-0.0689598265321581
ERR911956	-0.0128067636250598	-0.0675839475229563	0.0207873075486544
ERR911957	-0.0498384719241881	0.00574749664882147	-0.0487169578225149
ERR911958	0.235135152784782	0.00727822388601014	-0.0504725129115111
ERR911959	0.154988963281494	-0.022428559994585	-0.0655833929997531
ERR911960	0.049063792434961	-0.00108206478033146	-0.0659180934073727
ERR911961	0.0044704870471287	-0.00333612948564436	-0.0165853607270839
ERR911962	-0.0269510111184783	0.0117094736386675	-0.0281630147080627
ERR911963	0.0286319402624008	0.0163530321336968	-0.0674586201437067
ERR911964	0.086329996244259	-0.0397397388598337	-0.0169167636197474
ERR911965	-0.411386804270626	0.00137798253911163	-0.00765928396821718
ERR911966	0.134337763354419	-0.020540028934833	-0.0622411874921662
ERR911967	-0.153321939803146	-0.0260237682459926	0.00308847263772404
ERR911968	-0.0705639486412878	-0.0554071046369787	0.00966925644547733
ERR911969	0.093178614411852	-0.0321797014016191	-0.0523813785886006
ERR911970	-0.428448385257809	0.00742689393398799	-0.0204233772227084
ERR911971	-0.208942123621219	-0.010148163275409	-0.0389563406505439
ERR911972	-0.129509799718546	-0.0769574233576631	0.0466238200839929
ERR911973	0.0694504951202415	0.0630664734363064	0.191676456335062
ERR911974	-0.0448004913002059	-0.107132330803734	0.0661058742004705
ERR911975	-0.0999830539678134	-0.0476640612440777	0.0110712358913068
ERR911976	0.192686454713751	-0.0272665082260203	-0.0379595220658923
ERR911977	-0.0602442413711693	-0.00549417722487756	-0.0673855018640196
ERR911978	-0.169454821222407	0.128157635662354	0.00687919992362279
ERR911979	0.272063336320506	-0.272097552484407	0.272955232641935
ERR911980	-0.213762258552244	-0.00275392797047693	-0.0352564653803966
ERR911981	0.0251285699622712	-0.0725193819299591	0.0299452883743193
ERR911982	0.0312745396282547	-0.143732138065704	0.110423180601571
ERR911983	0.14389030506314	-0.0539267987030645	0.0118892154584253
ERR911984	-0.091398785317089	-0.0520774952063523	-0.0026142131604627
ERR911985	0.186833294298514	0.00439998246513947	-0.0964723398855499
ERR911986	-0.201075368754141	0.01125626013046	-0.0556912658367021
ERR911987	0.117063061694751	-0.0761000851061138	0.0277941890198086
ERR911988	0.0619978803466896	0.10193668253157	-0.0917026197894494
ERR911989	0.160996963564322	0.0210304099979504	-0.0783571288289095
ERR911990	0.0459216184896594	0.0238867334670867	0.0447252991340567
ERR911991	0.0233314268229232	-0.0668641257928608	0.00660203390909305
ERR911992	0.237706709653668	-0.0799966628598079	0.0396246635049273
ERR911993	0.134885806023411	0.0181437302883349	-0.0170412017920866
ERR911994	0.0706453130610739	-0.0785849499559243	0.0307500695074092
ERR911995	0.150227243273218	-0.00412907238703968	-0.0768549505410466
ERR911996	0.0425043627479688	-0.00275997674766033	-0.0841043817614123
ERR911997	-0.0393425365889459	0.036810630979992	-0.105925715212155
ERR911998	0.0384961793942285	0.0140964499002473	-0.0803822865612492
ERR911999	0.177945322383387	0.0645043914391656	-0.0747855408495795
ERR912000	-0.0564779925625563	-0.0445963156013674	0.00997500304271115
